cities,population
Aisy-sur-Armançon,2693329
Aiti,2595333
Aiton,469744
Aix,2721391
Aix,2424066
Aix-en-Diois,809008
Aix-en-Ergny,50530
Aix-en-Issart,656063
Aix-en-Othe,2165682
Aix-en-Provence,2249832
Aix-la-Fayette,2083855
Aix-les-Bains,2518940
Aix-Noulette,1631410
Aixe-sur-Vienne,637507
Aizac,240090
Aizanville,2316791
Aize,2694389
Aizecourt-le-Bas,2212162
Aizecourt-le-Haut,1002910
Aizelles,389990
Aizenay,2680437
Aizier,843512
Aizy-Jouy,1442993
Ajac,1694683
Ajaccio,630849
Ajain,1472055
Ajat,1422070
Ajoncourt,2417498
Ajou,816431
Ajoux,2087028
Alaigne,1893128
Alaincourt,1964066
Alaincourt,2487007
Alaincourt-la-Côte,961763
Alairac,204125
Alan,1735798
Alando,707517
Alata,1752494
Alba-la-Romaine,970725
Alban,2619131
Albaret-le-Comtal,1202680
Albaret-Sainte-Marie,444004
Albas,449645
Albas,199620
Albé,1886245
Albefeuille-Lagarde,1428318
Albens,701255
Albepierre-Bredons,1162752
Albert,1078565
Albertacce,307298
Albertville,2551424
Albestroff,2519165
Albi,814051
Albiac,1803665
Albiac,758139
Albias,2659736
Albières,2239325
Albiès,1997820
Albiez-le-Jeune,2364201
Albiez-Montrond,2073967
Albignac,1975255
Albigny-sur-Saône,1469659
Albine,2050265
Albitreccia,156803
Albon,198036
Albon-d'Ardèche,2579807
Alboussière,309513
Albussac,1765038
Alby-sur-Chéran,1492717
Alçay-Alçabéhéty-Sunharette,2009954
Aldudes,2198217
Alembon,2153021
Alençon,1106049
Alénya,527681
Aléria,352933
Alès,2017172
Alet-les-Bains,923772
Alette,935983
Aleu,1358841
Alex,137890
Alexain,627791
Aleyrac,2049422
Alfortville,2743246
Algajola,499480
Algans,581824
Algolsheim,1497698
Algrange,1570662
Alièze,508416
Alignan-du-Vent,1375474
Alincourt,288820
Alincthun,595258
Alise-Sainte-Reine,2786339
Alissas,432342
Alix,1229138
Alixan,1222990
Alizay,1094495
Allain,250184
Allaines,2421574
Allaines-Mervilliers,1312017
Allainville,2363279
Allainville,2184922
Allaire,1934975
Allamont,2654512
Allamps,1656433
Allan,1533735
Allanche,1661140
Alland'Huy-et-Sausseuil,210535
Allarmont,1836738
Allas-Bocage,581581
Allas-Champagne,2462721
Allas-les-Mines,182726
Allassac,200181
Allauch,217977
Allègre,1804361
Allègre-les-Fumades,1070463
Alleins,2448707
Allemagne-en-Provence,1599886
Allemanche-Launay-et-Soyer,377046
Allemans,1314905
Allemans-du-Dropt,2414517
Allemant,464308
Allemant,688849
Allemond,441870
Allenay,920716
Allenc,13925
Allenjoie,2238101
Allennes-les-Marais,140161
Allenwiller,2054849
Allerey,79486
Allerey-sur-Saône,1571309
Allériot,43604
Allery,2457791
Alles-sur-Dordogne,2473813
Alleuze,1974640
Allevard,2650992
Allèves,2129046
Allex,992967
Alleyrac,1026272
Alleyras,731549
Alleyrat,781562
Alleyrat,1963953
Allez-et-Cazeneuve,1212479
Alliancelles,1979451
Alliat,352355
Allibaudières,2678588
Allichamps,4179
Allier,639328
Allières,1069213
Alligny-Cosne,1974167
Alligny-en-Morvan,377797
Allineuc,595007
Allinges,494337
Allogny,1176530
Allondans,717393
Allondaz,2472757
Allondrelle-la-Malmaison,2696079
Allonne,1552357
Allonne,2039377
Allonnes,2200383
Allonnes,319255
Allonnes,1618238
Allons,2487827
Allons,2720221
Allonville,2571635
Allonzier-la-Caille,1854331
Allos,1533889
Allouagne,664746
Alloue,1354329
Allouis,271977
Allouville-Bellefosse,337118
Alluy,995870
Alluyes,468623
Ally,706964
Ally,384746
Almayrac,1732121
Almenêches,1875774
Almont-les-Junies,2250290
Alos,455278
Alos,1164183
Alos-Sibas-Abense,1283137
Aloxe-Corton,1361800
Alpuech,1447433
Alquines,1235137
Alrance,936006
Alsting,885712
Altagène,897058
Alteckendorf,572558
Altenach,2796208
Altenheim,2395179
Althen-des-Paluds,1846990
Altiani,370056
Altier,682669
Altillac,873801
Altkirch,2792268
Altorf,1795792
Altrippe,183476
Altviller,1996053
Altwiller,953568
Aluze,2025092
Alvignac,705259
Alvimare,2196805
Alzen,195599
Alzi,1301105
Alzing,567419
Alzon,2736190
Alzonne,972878
Amage,1629892
Amagne,2229782
Amagney,2221825
Amailloux,1096585
Amance,1541673
Amance,952100
Amance,1320532
Amancey,2217642
Amancy,627239
Amange,117370
Amanlis,1702345
Amanty,180031
Amanvillers,1226086
Amanzé,1849345
Amarens,79071
Amathay-Vésigneux,1381493
Amayé-sur-Orne,1889463
Amayé-sur-Seulles,990459
Amazy,1175180
Ambacourt,2266778
Ambarès-et-Lagrave,2397142
Ambax,2024020
Ambazac,181371
Ambel,2576976
Ambenay,2063579
Ambérac,2737500
Ambérieu-en-Bugey,867614
Ambérieux,831797
Ambérieux-en-Dombes,2691388
Ambernac,872886
Amberre,70932
Ambert,959613
Ambès,1259118
Ambeyrac,1824900
Ambialet,560127
Ambiegna,1836935
Ambierle,1093771
Ambiévillers,1115996
Ambillou,30837
Ambillou-Château,16257
Ambilly,1753977
Amblainville,1778319
Amblans-et-Velotte,2181798
Ambleny,2323020
Ambléon,1465488
Ambleteuse,1350207
Ambleville,1075543
Ambleville,155514
Amblie,2362657
Amblimont,299133
Ambloy,2342444
Ambly-Fleury,1505799
Ambly-sur-Meuse,1515317
Amboise,366378
Ambon,2412963
Ambonil,984004
Ambonnay,1024552
Ambonville,2215535
Ambrault,1129110
Ambres,2186262
Ambricourt,984107
Ambrief,1271192
Ambrières,1398346
Ambrières-les-Vallées,129495
Ambrines,793102
Ambronay,877737
Ambrugeat,1943554
Ambrumesnil,143198
Ambrus,462171
Ambutrix,2172959
Amécourt,1939553
Amel-sur-l'Étang,931708
Amelécourt,689604
Amélie-les-Bains-Palalda,2135806
Amendeuix-Oneix,2319999
Amenoncourt,2277654
Amenucourt,1741031
Ames,855788
Amettes,2005777
Ameugny,684599
Ameuvelle,1140950
Amfreville,1263327
Amfreville,1780009
Amfreville-la-Campagne,1191949
Amfreville-la-Mi-Voie,2419278
Amfreville-les-Champs,2064151
Amfreville-les-Champs,584804
Amfreville-sous-les-Monts,1692458
Amfreville-sur-Iton,1001870
Amfroipret,1633605
Amiens,2658473
Amifontaine,2274862
Amigny,2507806
Amigny-Rouy,1995375
Amillis,1742554
Amilly,1282197
Amilly,1204957
Amions,2394722
Amirat,765091
Ammerschwihr,2723729
Ammerzwiller,375833
Amné,2103816
Amnéville,2043295
Amoncourt,1616069
Amondans,1185940
Amont-et-Effreney,1693125
Amorots-Succos,2483870
Amou,46926
Ampilly-le-Sec,502085
Ampilly-les-Bordes,1604585
Amplepuis,636063
Amplier,928773
Ampoigné,2421589
Amponville,764126
Ampriani,1776965
Ampuis,590421
Ampus,2041905
Amuré,554935
Amy,29742
Anais,615806
Anais,2428701
Anan,134737
Ance,1279608
Anceaumeville,748401
Anceins,2241291
Ancelle,326644
Ancemont,821858
Ancenis,78710
Ancerville,2552471
Ancerville,2766871
Ancerviller,1941345
Ancey,2685404
Anchamps,1143852
Anché,3446
Anché,951722
Anchenoncourt-et-Chazel,1138905
Ancienville,2487105
Ancier,2623942
Ancinnes,1108238
Ancizan,2267419
Ancône,2220087
Ancourt,1071217
Ancourteville-sur-Héricourt,876020
Ancretiéville-Saint-Victor,2543106
Ancretteville-sur-Mer,73113
Ancteville,572647
Anctoville,1479541
Anctoville-sur-Boscq,2263273
Ancy,1728221
Ancy-le-Franc,2689135
Ancy-le-Libre,478762
Ancy-sur-Moselle,936646
Andainville,1245123
Andance,1311747
Andancette,1666438
Andard,2222932
Andé,1667395
Andechy,233088
Andel,1882570
Andelain,100422
Andelaroche,2348759
Andelarre,2225505
Andelarrot,30647
Andelat,1552988
Andelnans,2592382
Andelot-Blancheville,901761
Andelot-en-Montagne,783947
Andelot-Morval,2085913
Andelu,2695461
Andernay,1004012
Andernos-les-Bains,383430
Anderny,1531670
Andert-et-Condon,308640
Andeville,1806533
Andigné,884414
Andillac,2389488
Andilly,1820321
Andilly,1434836
Andilly,1970047
Andilly,1398692
Andilly-en-Bassigny,2273118
Andiran,9757
Andlau,2281264
Andoins,635768
Andolsheim,2096285
Andon,1109475
Andonville,2212967
Andornay,2287924
Andouillé,1429687
Andouillé-Neuville,143530
Andouque,1169341
Andrein,2758431
Andres,2029106
Andrest,340149
Andrésy,241385
Andrezé,2083669
Andrezel,1883447
Andrézieux-Bouthéon,1196494
Andryes,177338
Anduze,1117517
Anères,1120549
Anet,430410
Anetz,1079112
Angaïs,1537877
Angé,186106
Angeac-Champagne,2667972
Angeac-Charente,1165943
Angecourt,1735181
Angeduc,182485
Angely,1662719
Angeot,396425
Angers,1926306
Angerville,108811
Angerville,2033642
Angerville-Bailleul,1932612
Angerville-l'Orcher,109730
Angerville-la-Campagne,1156270
Angerville-la-Martel,1053091
Angervilliers,2779560
Angeville,1944290
Angevillers,684987
Angey,2553261
Angicourt,2078645
Angiens,806585
Angirey,1699581
Angivillers,324111
Anglade,925958
Anglards-de-Saint-Flour,1491563
Anglards-de-Salers,1012964
Anglars,903465
Anglars-Juillac,63756
Anglars-Nozac,2547389
Anglars-Saint-Félix,736157
Anglefort,1164977
Anglemont,1020406
Angles,2022532
Angles,2677795
Anglès,2383567
Angles-sur-l'Anglin,1859190
Anglesqueville-l'Esneval,328944
Anglesqueville-la-Bras-Long,642834
Anglet,1956046
Angliers,546237
Angliers,1836765
Anglure,845233
Anglure-sous-Dun,321186
Angluzelles-et-Courcelles,497704
Angoisse,1573663
Angomont,1640977
Angos,449423
Angoulême,1831295
Angoulins,2062786
Angoumé,890238
Angous,315259
Angoustrine-Villeneuve-des-Escaldes,2120815
Angoville,1158623
Angoville-au-Plain,904905
Angoville-sur-Ay,2251933
Angres,768341
Angresse,2575567
Angrie,2511205
Anguerny,2760343
Anguilcourt-le-Sart,1025805
Angy,1982538
Anhaux,1559889
Anhiers,428895
Aniane,1618934
Aniche,983239
Anisy,1474404
Anizy-le-Château,282475
Anjeux,2791414
Anjou,594376
Anjouin,1218795
Anjoutey,2411250
Anla,2043909
Anlezy,1071306
Anlhiac,367218
Annay,2026339
Annay,318013
Annay-la-Côte,213043
Annay-sur-Serein,1054502
Annebault,2375618
Annecy,2258048
Annecy-le-Vieux,543532
Annelles,1381783
Annemasse,1829662
Annéot,2628704
Annepont,2508750
Annequin,2129971
Annesse-et-Beaulieu,2373545
Annet-sur-Marne,1916979
Anneux,1631601
Anneville-Ambourville,369844
Anneville-en-Saire,739480
Annéville-la-Prairie,1954509
Anneville-sur-Mer,2148727
Anneville-sur-Scie,2147601
Anneyron,2704603
Annezay,181497
Annezin,2615842
Annœullin,11241
Annoire,2704698
Annois,326279
Annoisin-Chatelans,1204167
Annoix,2415685
Annonay,1744709
Annonville,130371
Annot,2593724
Annouville-Vilmesnil,2220594
Annoux,988079
Annoville,968840
Anor,2102312
Anos,2244113
Anost,646598
Anould,2004830
Anoux,550659
Anoye,2224689
Anquetierville,2326009
Anrosey,1956031
Ansac-sur-Vienne,1561145
Ansacq,1859840
Ansan,1624687
Ansauville,1547583
Ansauvillers,335423
Anse,96407
Anserville,244576
Ansignan,2166034
Ansost,630731
Ansouis,2416908
Anstaing,976989
Antagnac,983555
Anterrieux,379968
Anteuil,1212333
Antezant-la-Chapelle,1844100
Anthé,1130686
Anthelupt,2377494
Anthenay,695052
Antheny,2504046
Antheuil,1927238
Antheuil-Portes,2763482
Anthien,1545894
Anthon,1720136
Anthy-sur-Léman,2375818
Antibes,1251461
Antichan,1751060
Antichan-de-Frontignes,1463218
Antignac,698754
Antignac,834519
Antigny,910630
Antigny,1816879
Antigny-la-Ville,1401364
Antilly,1037580
Antilly,2623519
Antin,2551504
Antisanti,1900807
Antist,271452
Antogny le Tillac,2193343
Antoigné,1794608
Antoigny,233731
Antoingt,1124162
Antonaves,1054996
Antonne-et-Trigonant,1663037
Antony,1308911
Antraigues-sur-Volane,1738661
Antrain,2512526
Antran,145966
Antras,1927136
Antras,1676637
Antrenas,134298
Antugnac,1467606
Antully,790342
Anvéville,498468
Anville,2422531
Anvin,747259
Any-Martin-Rieux,2609844
Anzat-le-Luguet,1623407
Anzeling,2244919
Anzême,2471298
Anzex,1630106
Anzin,893842
Anzin-Saint-Aubin,1452181
Anzy-le-Duc,1016824
Aoste,1758800
Aougny,2359842
Aouste,596804
Aouste-sur-Sye,315060
Aouze,1826916
Apach,1394064
Apchat,1435882
Apchon,1847603
Apinac,1613814
Appelle,1804285
Appenai-sous-Bellême,88348
Appenans,18757
Appenwihr,919378
Appeville,168380
Appeville-Annebault,367782
Appietto,2041918
Appilly,2377348
Appoigny,1980082
Apprieu,1438534
Appy,2335927
Apremont,2200611
Apremont,1259997
Apremont,1599965
Apremont,238058
Apremont,404500
Apremont,140309
Apremont-la-Forêt,2789914
Apremont-sur-Allier,2770199
Aprey,2208416
Apt,994594
Arabaux,1796267
Arâches-la-Frasse,919429
Aragnouet,2060894
Aragon,1704513
Aramits,833441
Aramon,294937
Aranc,2775924
Arancou,1802359
Arandas,435775
Arandon,508920
Araujuzon,77598
Araules,676959
Araux,73660
Arbanats,273433
Arbas,1140584
Arbecey,2717473
Arbellara,189549
Arbent,2345844
Arbéost,245473
Arbérats-Sillègue,1976286
Arbignieu,1220753
Arbigny,1783970
Arbigny-sous-Varennes,2218609
Arbin,755854
Arbis,2602094
Arblade-le-Bas,1503948
Arblade-le-Haut,157257
Arbois,376882
Arbon,1829991
Arbonne,2151410
Arbonne-la-Forêt,2054374
Arboras,1254679
Arbori,145416
Arbot,1238095
Arbouans,1131420
Arboucave,637683
Arbouet-Sussaute,2075274
Arbourse,1309791
Arboussols,1580804
Arbrissel,671926
Arbus,865422
Arbusigny,2187520
Arc-en-Barrois,2101578
Arc-et-Senans,2379495
Arc-lès-Gray,2393396
Arc-sous-Cicon,461736
Arc-sous-Montenot,182693
Arc-sur-Tille,880000
Arcachon,624633
Arçais,1370684
Arcambal,627477
Arcangues,1367284
Arçay,1795075
Arçay,313976
Arceau,1018816
Arcenant,1810638
Arcens,958303
Arces,465592
Arces-Dilo,2485517
Arcey,13092
Arcey,1448040
Archail,1752807
Archamps,1362140
Archelange,2414823
Arches,2372261
Arches,614013
Archettes,2164391
Archiac,104309
Archignac,1852639
Archignat,83646
Archigny,1090140
Archingeay,378876
Archon,619844
Arcinges,180240
Arcins,867226
Arcis-le-Ponsart,2777170
Arcis-sur-Aube,1028800
Arcizac-Adour,631520
Arcizac-ez-Angles,73603
Arcizans-Avant,2164011
Arcizans-Dessus,2209527
Arcomps,1464250
Arcon,2659447
Arçon,1796231
Arconcey,500302
Arçonnay,500229
Arconsat,2546409
Arconville,385023
Arcueil,2563096
Arcy-Sainte-Restitue,1783280
Arcy-sur-Cure,2435515
Ardelles,607906
Ardelu,2390736
Ardenais,1437180
Ardenay-sur-Mérize,27295
Ardengost,334509
Ardentes,1975520
Ardes,1482796
Ardeuil-et-Montfauxelles,773106
Ardiège,87088
Ardilleux,570600
Ardillières,126352
Ardin,674425
Ardizas,2529164
Ardoix,100682
Ardon,2016281
Ardon,147547
Ardouval,653340
Ardres,1919963
Aregno,206646
Areines,1305237
Aren,2289477
Arengosse,2166987
Arenthon,1803781
Arès,638638
Aresches,2329191
Aressy,130085
Arette,442050
Arfeuille-Châtain,1601248
Arfeuilles,330379
Arfons,2169869
Argagnon,548682
Arganchy,281270
Argançon,2660702
Argancy,700541
Argein,582568
Argelès-Bagnères,1452354
Argelès-Gazost,832324
Argelès-sur-Mer,711898
Argeliers,2628031
Argelliers,1371227
Argelos,2596905
Argelos,2463307
Argelouse,1843148
Argences,1981624
Argens-Minervois,1275591
Argent-sur-Sauldre,1907413
Argentan,1019293
Argentat,1546678
Argentenay,1267782
Argenteuil,2632363
Argenteuil-sur-Armançon,1861797
Argentières,1926306
Argentine,573330
Argenton,1908375
Argenton-l'Église,1112931
Argenton-les-Vallées,12315
Argenton-Notre-Dame,1348974
Argenton-sur-Creuse,2780596
Argentré,133453
Argentré-du-Plessis,1100070
Argenvières,60346
Argenvilliers,140383
Argers,2681609
Arget,2349481
Argiésans,2283889
Argillières,2751928
Argilliers,1348531
Argilly,1240972
Argis,2541291
Argiusta-Moriccio,396948
Argœuves,2673118
Argol,769599
Argonay,1032373
Argouges,667599
Argoules,476575
Argueil,2703086
Arguel,2499850
Arguel,1194686
Arguenos,1049182
Argut-Dessous,2267232
Argy,225476
Arhansus,2492467
Aries-Espénan,1155251
Arifat,898112
Arignac,1951357
Arinthod,2076190
Arith,252721
Arjuzanx,406377
Arlanc,709939
Arlay,2780435
Arlebosc,2225646
Arlempdes,1047202
Arles,1668702
Arles-sur-Tech,1377139
Arlet,1670110
Arleuf,853
Arleux,5776
Arleux-en-Gohelle,597642
Arlos,1301313
Armaillé,875002
Armancourt,2149938
Armancourt,951051
Armaucourt,2734276
Armbouts-Cappel,1509814
Armeau,897230
Armendarits,709923
Armenteule,412578
Armentières,2672703
Armentières-en-Brie,970565
Armentières-sur-Avre,1678958
Armentières-sur-Ourcq,597464
Armentieux,1854329
Armes,255161
Armillac,491487
Armissan,598959
Armix,2343010
Armous-et-Cau,121958
Armoy,2670825
Arnac,2607105
Arnac-la-Poste,81061
Arnac-Pompadour,78444
Arnac-sur-Dourdou,271859
Arnage,2265009
Arnancourt,534083
Arnas,2253522
Arnaud-Guilhem,2620169
Arnave,1407574
Arnaville,1219247
Arnay-le-Duc,2050103
Arnay-sous-Vitteaux,2008264
Arnayon,1029100
Arné,767276
Arnéguy,1566101
Arnèke,1515436
Arnicourt,803609
Arnières-sur-Iton,138608
Arnos,884236
Arnouville-lès-Gonesse,63776
Arnouville-lès-Mantes,1035476
Aroffe,1017017
Aromas,152240
Aron,1073502
Aroue-Ithorots-Olhaïby,1788312
Aroz,1377192
Arpaillargues-et-Aureillac,2591140
Arpajon,2672272
Arpajon-sur-Cère,2081615
Arpavon,2055362
Arpenans,1761090
Arpheuilles,1623524
Arpheuilles,15808
Arpheuilles-Saint-Priest,1107375
Arphy,864090
Arquenay,142786
Arques,532331
Arques,1797765
Arques,504111
Arques-la-Bataille,2531060
Arquettes-en-Val,76212
Arquèves,1588433
Arquian,2175351
Arracourt,1334960
Arradon,2050839
Arraincourt,393423
Arrancourt,872963
Arrancy,146048
Arrancy-sur-Crusne,1385036
Arrans,937756
Arras,42594
Arras-en-Lavedan,2489722
Arras-sur-Rhône,1258615
Arrast-Larrebieu,1017060
Arraute-Charritte,799332
Arraye-et-Han,2376682
Arrayou-Lahitte,1810034
Arre,736865
Arreau,2551181
Arrelles,1897668
Arrembécourt,1346195
Arrènes,378719
Arrens-Marsous,2529290
Arrentès-de-Corcieux,72567
Arrentières,2548272
Arrest,213702
Arreux,2207956
Arriance,2744819
Arricau-Bordes,195611
Arrien,2681301
Arrien-en-Bethmale,204685
Arrigas,2634792
Arrigny,692922
Arro,47391
Arrodets,2220097
Arrodets-ez-Angles,1152730
Arromanches-les-Bains,2602284
Arronnes,1788130
Arronville,1757717
Arros-de-Nay,1452733
Arrosès,2444569
Arrou,911942
Arrouède,542138
Arrout,2634456
Arry,2528994
Arry,812318
Ars,2219782
Ars,2332570
Ars-en-Ré,2737936
Ars-Laquenexy,1049334
Ars-les-Favets,2434989
Ars-sur-Formans,554678
Ars-sur-Moselle,2278469
Arsac,1130841
Arsac-en-Velay,931389
Arsague,2100875
Arsans,1534182
Arsonval,2109102
Arsure-Arsurette,339518
Arsy,2505197
Art-sur-Meurthe,2498630
Artagnan,172906
Artaise-le-Vivier,685315
Artaix,1869123
Artalens-Souin,322808
Artannes-sur-Indre,2146276
Artannes-sur-Thouet,452774
Artas,2744708
Artassenx,843202
Artemare,1946875
Artemps,2069596
Artenay,1660697
Arthaz-Pont-Notre-Dame,77247
Arthel,248232
Arthémonay,1893244
Arthenac,2187791
Arthenas,2482443
Arthès,2163955
Arthez-d'Armagnac,2764419
Arthez-d'Asson,2536671
Arthez-de-Béarn,1088486
Arthezé,2259815
Arthies,870682
Arthon,2785627
Arthon-en-Retz,1035219
Arthonnay,1555608
Arthun,2630567
Artigat,963222
Artignosc-sur-Verdon,136892
Artigue,515298
Artigueloutan,2563220
Artiguelouve,1198590
Artiguemy,2454475
Artigues,2108767
Artigues,424508
Artigues,685296
Artigues,2339543
Artigues-près-Bordeaux,544897
Artins,1381479
Artix,1351332
Artix,626234
Artolsheim,969834
Artonges,2156549
Artonne,157662
Artres,207387
Artzenheim,361649
Arudy,1816938
Arue,1862555
Arvert,858164
Arveyres,1955011
Arvieu,138646
Arvieux,1778632
Arvigna,2405331
Arvillard,2256078
Arville,1093816
Arville,2110695
Arvillers,89013
Arx,983546
Arzacq-Arraziguet,76320
Arzal,615107
Arzano,275972
Arzay,2772544
Arzembouy,2284473
Arzenc-d'Apcher,323178
Arzenc-de-Randon,2538338
Arzens,426970
Arzillières-Neuville,1998303
Arzon,2547486
Arzviller,2325968
Asasp-Arros,1589338
Ascain,60963
Ascarat,1667518
Aschbach,1408620
Aschères-le-Marché,1794396
Asco,1417392
Ascou,595556
Ascoux,532645
Ascros,2695261
Asfeld,606277
Aslonnes,1328932
Asnan,2389691
Asnans-Beauvoisin,572206
Asnelles,2567263
Asnières,1268589
Asnières-en-Bessin,1790834
Asnières-en-Montagne,1589451
Asnières-en-Poitou,836274
Asnières-la-Giraud,1884591
Asnières-lès-Dijon,1937574
Asnières-sous-Bois,649197
Asnières-sur-Blour,197776
Asnières-sur-Nouère,770191
Asnières-sur-Oise,2144977
Asnières-sur-Saône,1804805
Asnières-sur-Seine,1299806
Asnières-sur-Vègre,1280883
Asnois,2396148
Asnois,715077
Aspach,2310400
Aspach,2791030
Aspach-le-Bas,1864727
Aspach-le-Haut,460959
Aspères,2385764
Asperjoc,489180
Aspet,1540311
Aspin-Aure,2039158
Aspin-en-Lavedan,1131953
Aspiran,1715773
Aspremont,770211
Aspremont,289603
Aspres-lès-Corps,1369535
Aspres-sur-Buëch,1378905
Aspret-Sarrat,1601419
Asprières,33678
Asque,1783018
Asques,2242348
Asques,2728057
Asquins,1192880
Assac,517967
Assainvillers,2005406
Assais-les-Jumeaux,2582281
Assas,611391
Assat,1571756
Assay,1914990
Assé-le-Bérenger,766048
Assé-le-Boisne,949130
Assé-le-Riboul,2784613
Assenay,556731
Assencières,1249353
Assenoncourt,988945
Assérac,2645263
Assevent,2378679
Assevillers,1279565
Assier,945452
